MeasurementRun,Coments,BeamSize,AcceleratingVoltage,BeamCurrent,StandardID,n,SiO2,SD_SiO2,RSD_SiO2,TiO2,SD_TiO2,RSD_TiO2,Al2O3,SD_Al2O3,RSD_Al2O3,Fe2O3T,SD_Fe2O3T,FeOT,SD_FeOT,RSD_FeOT,MnO,SD_MnO,RSD_MnO,MgO,SD_MgO,RSD_MgO,CaO,SD_CaO,RSD_CaO,Na2O,SD_Na2O,RSD_Na2O,K2O,SD_K2O,RSD_K2O,P2O5,SD_P2O5,RSD_P2O5,Cl,SD_Cl,RSD_Cl,Total,SD1_Total,Rb,SD_Rb,RSD_Rb,Sr,SD_Sr,RSD_Sr,Y,SD_Y,RSD_Y,Zr,SD_Zr,RSD_Zr,Nb,SD_Nb,RSD_Nb,Cs,SD_Cs,RSD_Cs,Ba,SD_Ba,RSD_Ba,La,SD_La,RSD_La,Ce,SD_Ce,RSD_Ce,Pr,SD_Pr,RSD_Pr,Nd,SD_Nd,RSD_Nd,Sm,SD_Sm,RSD_Sm,Eu,SD_Eu,RSD_Eu,Gd,SD_Gd,RSD_Gd,Tb,SD_Tb,RSD_Tb,Dy,SD_Dy,RSD_Dy,Ho,SD_Ho,RSD_Ho,Er,SD_Er,RSD_Er,Tm,SD_Tm,RSD_Tm,Yb,SD_Yb,RSD_Yb,Lu,SD_Lu,RSD_Lu,Hf,SD_Hf,RSD_Hf,Ta,SD_Ta,RSD_Ta,Pb,SD_Pb,RSD_Pb,Th,SD_Th,RSD_Th,U,SD_U,RSD_U
80917,,10,15,6,GOR132-G,11,45.9658,0.1526,0.33,0.2714,0.0319,11.75,9.8671,0.1768,1.79,,,9.6928,0.2061,2.13,0.1967,0.0437,22.22,25.822,0.2162,0.84,6.1906,0.0748,1.21,0.5288,0.046,8.7,0.0301,0.013,43.19,0.0234,0.014,59.83,,,,98.59133636,0.49950405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80917,,10,15,6,KL2-G,11,50.17,0.2165,0.43,2.5905,0.0651,2.51,13.4218,0.26,1.94,,,10.901,0.2296,2.11,0.1718,0.0514,29.92,7.2747,0.107,1.47,10.9814,0.0914,0.83,2.2605,0.1,4.42,0.49,0.0157,3.2,0.2658,0.0265,9.97,,,,98.53337273,0.47569316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80917,,10,15,6,StHs6/80-G,11,63.3195,0.3159,0.5,0.7069,0.0469,6.63,17.4832,0.3015,1.72,,,4.4293,0.1253,2.83,0.0656,0.0625,95.27,1.9449,0.0447,2.3,5.2087,0.078,1.5,4.6098,0.0965,2.09,1.2917,0.0407,3.15,0.1152,0.0297,25.78,,,,99.17909091,0.43425545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81112,,10,15,6,ATHO-G,4,74.2194,0.17714602,0.24,0.2741,0.03268771,11.93,12.2084,0.10204022,0.84,,,3.262625,0.04430353,1.36,0.0881,0.03141433,35.66,0.1055,0.00456582,4.33,1.670775,0.06223265,3.72,4.388825,0.15911615,3.63,2.770675,0.05455654,1.97,0.01685,0.01343763,79.75,,,,99.00525,0.17453692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81112,,10,15,6,GOR132-G,3,45.3009,0.07969749,0.18,0.2895,0.01552321,5.36,10.91023333,0.08707102,0.8,,,9.92236667,0.27987251,2.82,0.15516667,0.03556464,22.92,22.36693333,0.05518191,0.25,8.4483,0.18175184,2.15,0.69293333,0.04809806,6.94,0.0259,0.00578878,22.35,0.04513333,0.00587566,13.02,,,,98.15736667,0.37197815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81112,,10,15,6,KL2-G,4,49.883225,0.25675939,0.51,2.665525,0.06853502,2.57,13.3958,0.01508134,0.11,,,10.670575,0.15382653,1.44,0.184925,0.05525845,29.88,7.208775,0.12399818,1.72,10.9063,0.11202672,1.03,2.33925,0.08019645,3.43,0.4805,0.03437179,7.15,0.265775,0.01764641,6.64,,,,98.00065,0.48170974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81112,,10,15,6,StHs6/80-G,4,62.766675,0.0647395,0.1,0.7051,0.02815019,3.99,17.740225,0.12133305,0.68,,,4.274,0.12871439,3.01,0.071325,0.03348685,46.95,1.9707,0.03113337,1.58,5.246075,0.10351014,1.97,4.701675,0.2096639,4.46,1.290275,0.03645997,2.83,0.134875,0.01444239,10.71,,,,98.900925,0.49724545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81112,,10,15,6,T1-G,3,56.1486,0.18657974,0.33,0.76126667,0.04206499,5.53,17.90523333,0.18158613,1.01,,,6.79673333,0.17449574,2.57,0.16793333,0.0168613,10.04,3.9365,0.09089422,2.31,7.50266667,0.10213777,1.36,3.13326667,0.01409302,0.45,1.8789,0.0453342,2.41,0.21143333,0.03928617,18.58,,,,98.44253333,0.5414337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100415,,10,15,6,ATHO-G,18,74.91,0.43,0.57,0.26,0.02,9.09,12.2,0.12,0.94,,,3.25,0.09,2.77,0.11,0.03,27.2,0.08,0.03,35.42,1.67,0.05,3.09,4.26,0.14,3.17,2.75,0.04,1.61,0.03,0.02,78.7,,,,99.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100415,,10,15,6,ML3B-G,17,51.46,0.16,0.31,2.17,0.06,2.65,13.69,0.12,0.89,,,11.15,0.14,1.3,0.16,0.04,24.9,6.74,0.07,1.07,10.5,0.09,0.89,2.34,0.12,5.21,0.38,0.03,7.08,0.24,0.03,11.47,,,,98.83,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100415,,10,15,6,StHs6/80-G,18,63.08,0.28,0.45,0.72,0.04,5.25,17.57,0.16,0.93,,,4.45,0.13,2.94,0.07,0.03,41.73,1.99,0.06,2.78,5.31,0.08,1.55,4.56,0.14,2.99,1.3,0.05,3.89,0.15,0.01,9.21,,,,99.2,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100713,,10,15,6,ATHO-G,6,75.48293333,0.18470976,0.24,0.25023333,0.01218042,4.87,12.40908333,0.11891872,0.96,,,3.30513333,0.15082294,4.56,0.08903333,0.03458628,38.85,0.09306667,0.0118928,12.78,1.6918,0.0306782,1.81,3.95595,0.11793954,2.98,2.72181667,0.05463931,2.01,0.01701667,0.00913158,53.66,,,,100.00118,0.17089623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100713,,10,15,6,KL2-G,6,50.09251667,0.43119557,0.86,2.66553333,0.0742549,2.79,13.24783333,0.15068811,1.14,,,11.03011667,0.23129003,2.1,0.17823333,0.03203902,17.98,7.22365,0.08597229,1.19,11.01566667,0.07628781,0.69,2.21293333,0.07480456,3.38,0.49506667,0.02679856,5.41,0.274,0.01170453,4.27,,,,98.61606,0.83546227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100713,,10,15,6,StHs6/80-G,7,63.65854286,0.25326817,0.4,0.69458571,0.04923689,7.09,17.71137143,0.13688847,0.77,,,4.37354286,0.10855593,2.48,0.07225714,0.02860168,39.58,1.93695714,0.02920764,1.51,5.32787143,0.08225731,1.54,4.4324,0.144005,3.25,1.32622857,0.03545122,2.67,0.1547,0.01057828,6.84,,,,99.72964,0.29269458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100713,,10,15,6,T1-G,6,56.94613333,0.31367104,0.55,0.80426667,0.03397362,4.22,18.05748333,0.19707843,1.09,,,6.80133333,0.15853207,2.33,0.1354,0.02293452,16.94,3.87833333,0.03535436,0.91,7.48276667,0.09848272,1.32,3.03366667,0.11809374,3.89,1.90718333,0.04471337,2.34,0.20278333,0.01702074,8.39,,,,99.28352,0.54037783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100912,,10,15,6,ATHO-G,5,75.33524,0.21156783,0.28,0.24066,0.03956018,16.44,12.27026,0.11874196,0.97,,,3.29,0.06658269,2.02,0.11942,0.05853296,49.01,0.09262,0.02066257,22.31,1.7053,0.04255109,2.5,4.09042,0.12985491,3.17,2.72306,0.04922208,1.81,0.023,0.02181983,94.87,,,,99.88998,0.33724289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100912,,10,15,6,KL2-G,5,49.93118,0.29327065,0.59,2.6003,0.05926901,2.28,13.18386,0.17957817,1.36,,,10.83474,0.29842663,2.75,0.13096,0.02588335,19.76,7.2491,0.08876049,1.22,11.0197,0.07064659,0.64,2.31162,0.06577607,2.85,0.48934,0.03638919,7.44,0.2173,0.02311926,10.64,,,,97.9681,0.43020693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100912,,10,15,6,ML3B-G,5,51.9605,0.16619084,0.32,2.1237,0.08639476,4.07,13.7987,0.12093385,0.88,,,10.92244,0.19030966,1.74,0.15682,0.04567053,29.12,6.53034,0.03100481,0.47,10.34898,0.05333439,0.52,2.28866,0.07520049,3.29,0.39392,0.02649815,6.73,0.20778,0.01426559,6.87,,,,98.73184,0.29613456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100912,,10,15,6,StHs6/80-G,5,63.55306,0.18918304,0.3,0.7002,0.05573742,7.96,17.4829,0.16842429,0.96,,,4.40048,0.13337568,3.03,0.07156,0.0461747,64.53,1.97974,0.03629377,1.83,5.1711,0.09182102,1.78,4.64154,0.13407559,2.89,1.3086,0.04386268,3.35,0.08212,0.0370759,45.15,,,,99.3913,0.40450642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120713,,10,15,6,ATHO-G,7,75.3163,0.20007101,0.27,0.25217143,0.02571262,10.2,12.37018571,0.11457257,0.93,,,3.31787143,0.16100068,4.85,0.10404286,0.0283684,27.27,0.09705714,0.01683438,17.34,1.74454286,0.03411793,1.96,4.04544286,0.14619412,3.61,2.72897143,0.07346398,2.69,0.02282857,0.01343636,58.86,,,,99.97524,0.17091075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120713,,10,15,6,KL2-G,4,50.106775,0.12629387,0.25,2.587025,0.04054671,1.57,13.270375,0.18453053,1.39,,,10.7996,0.18490917,1.71,0.135975,0.03858811,28.38,7.1518,0.05319969,0.74,11.00555,0.11270331,1.02,2.1917,0.05630121,2.57,0.497925,0.03291792,6.61,0.26,0.01289367,4.96,,,,98.006725,0.24456326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120713,,10,15,6,ML3B-G,4,51.09,0.17,0.34,2.14,0.04,1.67,13.42,0.16,1.16,,,11.14,0.08,0.75,0.21,0.04,20.3,6.55,0.07,1.11,10.36,0.07,0.69,2.38,0.15,6.42,0.38,0.03,6.74,0.24,0.02,7.48,,,,98.53,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120713,,10,15,6,StHs6/80-G,7,63.17491429,0.25821491,0.41,0.73862857,0.04354774,5.9,17.59002857,0.10318333,0.59,,,4.39208571,0.18522844,4.22,0.05648571,0.01823462,32.28,1.9455,0.02318117,1.19,5.30354286,0.05747387,1.08,4.5998,0.33960804,7.38,1.28532857,0.03606858,2.81,0.17804286,0.01265581,7.11,,,,99.1042,0.7590107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120713,,10,15,6,T1-G,4,58.619975,0.10868368,0.19,0.730525,0.03359468,4.6,17.2694,0.21104379,1.22,,,6.4981,0.10120926,1.56,0.13565,0.02123087,15.65,3.7582,0.04327008,1.15,7.0731,0.07504012,1.06,3.13445,0.04337668,1.38,2.026325,0.04515797,2.23,0.187475,0.01595982,8.51,,,,99.4332,0.25863996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130415,,10,15,6,ATHO-G,15,75.21,0.32,0.43,0.26,0.03,10.85,12.1,0.24,1.98,,,3.22,0.13,3.98,0.11,0.03,27.2,0.08,0.04,45.06,1.67,0.05,3.16,4.18,0.22,5.28,2.71,0.05,2.01,0.02,0.02,108.06,,,,99.55,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130415,,10,15,6,ML3B-G,15,51.42,0.13,0.25,2.11,0.07,3.09,13.42,0.24,1.79,,,11.08,0.2,1.83,0.18,0.03,19.45,6.71,0.09,1.4,10.43,0.11,1.06,2.39,0.11,4.46,0.38,0.03,7.86,0.24,0.02,10.48,,,,98.35,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130415,,10,15,6,StHs6/80-G,15,63.34,0.3,0.47,0.71,0.04,6.08,17.3,0.49,2.83,,,4.43,0.14,3.23,0.07,0.03,41.55,1.99,0.07,3.52,5.2,0.05,0.89,4.55,0.15,3.32,1.3,0.04,2.85,0.15,0.03,19.26,,,,99.06,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131213,,10,15,6,ATHO-G,20,74.706655,0.93061307,1.25,0.248355,0.03592943,14.47,12.093725,0.1932904,1.6,,,3.204505,0.11214352,3.5,0.102545,0.03733743,36.41,0.086865,0.02202205,25.35,1.665065,0.0401435,2.41,4.188805,0.11362667,2.71,2.754605,0.04255534,1.54,0.024225,0.01334284,55.08,,,,99.07535,1.176842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131213,,10,15,6,GOR132-G,9,45.44493333,0.34336025,0.76,0.31031111,0.02429627,7.83,10.92587778,0.13055609,1.19,,,10.30086667,0.20043263,1.95,0.1511,0.03762997,24.9,22.29718889,0.21085595,0.95,8.56574444,0.06734061,0.79,0.79443333,0.04628998,5.83,0.03275556,0.01496455,45.69,0.02178889,0.01110838,50.98,,,,98.845,0.45546194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131213,,10,15,6,ML3B-G,19,51.07415263,0.57828422,1.13,2.14046842,0.0531517,2.48,13.48526842,0.21797864,1.62,,,11.06788421,0.20433026,1.85,0.18143684,0.04261249,23.49,6.59593684,0.06206828,0.94,10.53212632,0.08725427,0.83,2.26953684,0.09566609,4.22,0.40008947,0.02265956,5.66,0.21921579,0.0199647,9.11,,,,97.96611579,0.71387796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131213,,10,15,6,StHs6/80-G,20,63.238735,0.61112057,0.97,0.70188,0.03092949,4.41,17.477965,0.18816974,1.08,,,4.35637,0.13733893,3.15,0.07836,0.03474371,44.34,1.951975,0.04888278,2.5,5.27185,0.09096249,1.73,4.45634,0.15119048,3.39,1.32927,0.03987256,3,0.12202,0.02233738,18.31,,,,98.984765,0.71444483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140214,,10,15,6,ATHO-G,6,75.37331667,0.41669608,0.55,0.25465,0.02557035,10.04,12.36903333,0.10362067,0.84,,,3.34861667,0.07100841,2.12,0.09868333,0.05091606,51.6,0.10028333,0.01504,15,1.71693333,0.03180633,1.85,3.9748,0.67595117,17.01,2.70776667,0.03733174,1.38,0.03176667,0.01624016,51.12,,,,100.0201,0.74166083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140214,,10,15,6,GOR128-G,6,46.45991667,0.29126793,0.63,0.27551667,0.01702556,6.18,9.97195,0.04721931,0.47,,,9.88546667,0.30131378,3.05,0.18518333,0.06139314,33.15,25.59546667,0.12775352,0.5,6.25453333,0.05906524,0.94,0.51885,0.04423839,8.53,0.0486,0.00913805,18.8,0.02876667,0.01363241,47.39,,,,99.2324,0.31344474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140214,,10,15,6,StHs6/80-G,6,63.71038333,0.27559186,0.43,0.69716667,0.02810841,4.03,17.49828333,0.10296831,0.59,,,4.21476667,0.13267739,3.15,0.06611667,0.03515073,53.16,1.94286667,0.0210367,1.08,5.261,0.025571,0.49,4.54445,0.18798595,4.14,1.31351667,0.04044673,3.08,0.13853333,0.01934783,13.97,,,,99.39786667,0.38260401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190115,,10,15,6,ATHO-G,10,74.77,0.24,0.32,0.26,0.04,13.58,12.17,0.09,0.75,,,3.32,0.08,2.27,0.11,0.03,22.51,0.07,0.05,64.05,1.69,0.05,2.85,4.29,0.14,3.17,2.73,0.06,2.17,0.02,0.02,92.8,,,,99.42,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190115,,10,15,6,ML3B-G,10,51.2,0.17,0.34,2.16,0.06,2.95,13.59,0.11,0.77,,,11.14,0.24,2.13,0.17,0.04,21.69,6.54,0.13,1.91,10.58,0.1,0.99,2.36,0.14,6.12,0.4,0.03,6.67,0.23,0.03,14.36,,,,98.38,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190115,,10,15,6,StHs6/80-G,10,63.01,0.17,0.27,0.72,0.04,6.28,17.5,0.09,0.53,,,4.43,0.07,1.62,0.07,0.04,53.53,1.94,0.04,2.29,5.3,0.05,0.95,4.75,0.27,5.72,1.31,0.05,3.46,0.15,0.03,16.82,,,,99.18,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190314,,5,15,4,ATHO-G,14,75.23771429,0.54851764,0.73,0.24114286,0.0471297,19.54,12.13885714,0.13518811,1.11,,,3.24242857,0.23838938,7.35,0.10628571,0.0461743,43.44,0.10164286,0.02320016,22.83,1.71335714,0.04318406,2.52,3.15464286,0.38165502,12.1,2.67021429,0.05596864,2.1,0.02878571,0.02043819,71,,,,98.66214286,0.75467037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190314,,5,15,4,KL2-G,14,50.63707143,0.2722664,0.54,2.56892857,0.06365588,2.48,13.41735714,0.16355127,1.22,,,10.81607143,0.43096858,3.98,0.18192857,0.07083835,38.94,7.413,0.10165931,1.37,10.95092857,0.16471349,1.5,2.3415,0.06557409,2.8,0.50135714,0.02297694,4.58,0.25792857,0.03091543,11.99,,,,99.09292857,0.59901271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190314,,5,15,4,StHs6/80-G,13,63.71076923,0.35993591,0.56,0.70576923,0.03460528,4.9,17.64261538,0.1868103,1.06,,,4.41315385,0.27442754,6.22,0.05753846,0.05718481,99.39,2.00553846,0.05188548,2.59,5.26253846,0.09918049,1.88,4.21269231,0.2363833,5.61,1.29515385,0.06303418,4.87,0.16184615,0.03078378,19.02,,,,99.48007692,0.72040931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190816,,10,15,6,ATHO-G,11,75.13316486,0.43783249,0.58,0.24978919,0.0345925,13.85,12.2976,0.10789604,0.88,,,3.16593514,0.15281284,4.83,0.10807838,0.04154511,38.44,0.09072973,0.01858699,20.49,1.70731081,0.04958359,2.9,4.15155676,0.10976595,2.64,2.70971351,0.07874914,2.91,0.02225676,0.01817047,81.64,,,,99.95636364,0.49909223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190816,,10,15,6,GOR132-G,11,45.68504865,0.2463947,0.54,0.30267838,0.02632858,8.7,10.98941081,0.11292274,1.03,,,10.25227297,0.28372604,2.77,0.15197568,0.03830998,25.21,22.12090811,0.17508283,0.79,8.58625135,0.0944639,1.1,0.80075135,0.05896796,7.36,0.0290973,0.01638259,56.3,0.03966486,0.02034624,51.3,,,,98.89776364,0.40972601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
